lat	lon	period	windspeed
41.01877417	-121.4333136	1	38.38928685
38.30491306	-121.4296736	1	7.762298864
36.89334528	-121.4102706	1	17.87932255
41.88738	-121.3594331	1	0.047990077
38.90916111	-121.3513361	1	19.2366265
38.55389694	-121.2975908	1	2.454499518
39.45544417	-121.2913511	1	20.96216742
38.20241667	-121.2684167	1	41.73668759
40.28235278	-121.2411683	1	21.70553036
37.89426694	-121.2386203	1	0.14812303
44.09483333	-121.2006389	1	1.543615379
45.61854556	-121.1673439	1	37.31948748
44.66623139	-121.1631	1	11.09003793
44.25406722	-121.1499633	1	34.75984347
36.22802139	-121.1218614	1	15.31022116
38.4887975	-121.1024447	1	15.92532161
38.95476944	-121.0820806	1	30.51498957
39.22402778	-121.0030833	1	19.54884052
38.68407028	-120.9871642	1	30.43055404
37.26271722	-120.9632586	1	2.468762598
37.62581722	-120.9544214	1	4.039085192
39.94378056	-120.9468983	1	15.13264674
44.28699389	-120.9038328	1	32.48801647
47.18317583	-120.884525	1	9.871724428
37.06290556	-120.8692511	1	20.9995572
38.92111389	-120.8647944	1	21.44198583
37.75634472	-120.8002089	1	16.70069981
38.37680111	-120.7939075	1	12.35163582
38.72421806	-120.753325	1	41.94311001
37.48743556	-120.6968669	1	48.1228555
45.58944444	-120.6741667	1	37.15526575
43.23653139	-120.6660967	1	29.96803874
38.14611639	-120.6481733	1	21.66662934
35.23705806	-120.6423931	1	44.50001745
35.67288611	-120.6270558	1	31.33165009
35.10136472	-120.6221153	1	47.24968321
40.37684111	-120.5730033	1	39.90645143
37.38048056	-120.5681889	1	28.43408308
41.483	-120.5653611	1	5.288540397
46.56816972	-120.5440594	1	11.3767605
47.03302778	-120.5306944	1	41.40484429
37.28472861	-120.5138858	1	9.123700148
47.51484611	-120.4848025	1	27.65559015
34.66561028	-120.4667883	1	37.19956036
36.85998861	-120.4644675	1	37.69654343
34.89924833	-120.4575825	1	21.89844425
38.03042306	-120.4145556	1	11.94374965
42.16111111	-120.3990703	1	45.38156754
36.75800528	-120.3712794	1	12.0498645
39.82073556	-120.3543767	1	3.98850947
36.16313889	-120.2938139	1	11.87046051
37.11244417	-120.2468406	1	24.19466576
47.39886111	-120.2068333	1	46.71774819
37.86166667	-120.1778889	1	40.32288832
45.24651889	-120.1664233	1	45.66167367
41.55267139	-120.1663339	1	33.89708708
48.42070056	-120.1470264	1	37.8427904
39.32004222	-120.1395628	1	4.593170375
36.9857175	-120.1119844	1	42.72178184
34.60682028	-120.0755617	1	14.33702577
37.51077	-120.0418439	1	23.81129672
38.89388167	-119.9953347	1	16.15039207
46.32763139	-119.9705964	1	11.86386284
47.86597139	-119.9427053	1	36.72720718
39.66738111	-119.8754169	1	47.437254
34.42621194	-119.8403733	1	19.94950791
45.814825	-119.8205006	1	31.27684185
36.732365	-119.8198961	1	11.98377808
46.212355	-119.7928122	1	0.295121405
39.49857611	-119.7680647	1	20.77424826
39.00030889	-119.7508064	1	41.11180118
39.19222972	-119.7343611	1	47.32779969
